"Step","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MIN","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MAX"
"547","315098.0529910441","315098.0529910441","315098.0529910441"
"549","301392.0549868823","301392.0549868823","301392.0549868823"
"551","306802.55938548147","306802.55938548147","306802.55938548147"
"553","307117.0219814696","307117.0219814696","307117.0219814696"
"555","317913.357625735","317913.357625735","317913.357625735"
"557","310084.14170831634","310084.14170831634","310084.14170831634"
"559","305415.71655119356","305415.71655119356","305415.71655119356"
"561","306504.00681742304","306504.00681742304","306504.00681742304"
"563","311274.5386004185","311274.5386004185","311274.5386004185"
"565","311436.9639477624","311436.9639477624","311436.9639477624"
"567","313273.2418331922","313273.2418331922","313273.2418331922"
"569","304820.8387801361","304820.8387801361","304820.8387801361"
"571","307857.8492602742","307857.8492602742","307857.8492602742"
"573","313006.0897224607","313006.0897224607","313006.0897224607"
"575","305963.0721848905","305963.0721848905","305963.0721848905"
"577","309617.7357263703","309617.7357263703","309617.7357263703"
"579","312291.26965118694","312291.26965118694","312291.26965118694"
"581","304188.8276425541","304188.8276425541","304188.8276425541"
"583","314355.39744683355","314355.39744683355","314355.39744683355"
"585","309046.5236388619","309046.5236388619","309046.5236388619"
"587","310322.5402199607","310322.5402199607","310322.5402199607"
"589","320182.7167706934","320182.7167706934","320182.7167706934"
"591","311208.35415218887","311208.35415218887","311208.35415218887"
"593","310626.7680348804","310626.7680348804","310626.7680348804"
"595","311446.6519140497","311446.6519140497","311446.6519140497"
"597","304033.6957540969","304033.6957540969","304033.6957540969"
"599","310025.3483171972","310025.3483171972","310025.3483171972"
"601","312363.0374644285","312363.0374644285","312363.0374644285"
"603","316820.59360542236","316820.59360542236","316820.59360542236"
"605","309434.53617507336","309434.53617507336","309434.53617507336"
"607","309628.04022117413","309628.04022117413","309628.04022117413"
"609","301814.9236926349","301814.9236926349","301814.9236926349"
"611","308680.0849916703","308680.0849916703","308680.0849916703"
"613","308533.38178789156","308533.38178789156","308533.38178789156"
"615","299111.21048015694","299111.21048015694","299111.21048015694"
"617","313478.07329118997","313478.07329118997","313478.07329118997"
"619","314770.3733205814","314770.3733205814","314770.3733205814"
"621","311805.3970985673","311805.3970985673","311805.3970985673"
"623","314635.69666113565","314635.69666113565","314635.69666113565"
"625","312699.2168233973","312699.2168233973","312699.2168233973"
"627","309550.035223404","309550.035223404","309550.035223404"
"629","310693.106604485","310693.106604485","310693.106604485"
"631","314587.2580906235","314587.2580906235","314587.2580906235"
"633","310627.35399294645","310627.35399294645","310627.35399294645"
"635","300827.6710422532","300827.6710422532","300827.6710422532"
"637","317685.8303462276","317685.8303462276","317685.8303462276"
"639","301589.03081497346","301589.03081497346","301589.03081497346"
"641","311873.3682321061","311873.3682321061","311873.3682321061"
"643","309647.73347892816","309647.73347892816","309647.73347892816"
"645","303332.0389038047","303332.0389038047","303332.0389038047"
"647","310793.3518347868","310793.3518347868","310793.3518347868"
"649","322712.75837364927","322712.75837364927","322712.75837364927"
"651","303951.93761752784","303951.93761752784","303951.93761752784"
"653","310158.4737351176","310158.4737351176","310158.4737351176"
"655","312878.4228538549","312878.4228538549","312878.4228538549"
"657","304684.75742148934","304684.75742148934","304684.75742148934"
"659","313692.6168779844","313692.6168779844","313692.6168779844"
"661","304465.9296028285","304465.9296028285","304465.9296028285"
"663","316992.18681466515","316992.18681466515","316992.18681466515"
"665","299405.22417732084","299405.22417732084","299405.22417732084"
"667","304382.1219933012","304382.1219933012","304382.1219933012"
"669","308318.6249961472","308318.6249961472","308318.6249961472"
"671","312330.10019825416","312330.10019825416","312330.10019825416"
"673","304773.4844387851","304773.4844387851","304773.4844387851"
"675","317708.12565106293","317708.12565106293","317708.12565106293"
"677","309716.05366462754","309716.05366462754","309716.05366462754"
